id_unico,doi,titulo,ano,autores,fonte_periodico,tipo_documento,resumo,palavras_chave,bases_origem,strings_origem,n_registros_agrupados,doi_presente,resumo_presente,resumo_enriquecido_manualmente,ids_brutos_agrupados
REG_00001,10.1525/cse.2018.001248,Balancing stakeholder expectations in sustainability management: The rinker center project at Stetson University,2018,,Case Studies in the Environment,Journal,"The Marshall and Vera Lea Rinker Welcome Center is a US$7.634 million budgeted new building that was opened in August 2016 to house various administrative and student-related functions at Stetson University in Florida. Al Allen, the University's Vice President of Facilities Management, was the point person entrusted with not only completing the project on time and on budget but also ensuring that the building received external certification that validated its sustainability standards. Allen's task was not an easy one because he had to address the often-conflicting demands of the project's stakeholders, many of whom, although well meaning, had no knowledge of how the building's architectural details related to sustainability. Freeman's [1] idea of stakeholders affecting an organization's actions come into play in this case. This paper examines Allen's path as the project leader and the choices that he confronts via the lens of stakeholder theory as it impacts a sustainability initiative. As a result of engaging in the analysis of this case, the reader should have a fine-grained perspective on how organizations confront the trade-offs between the financial and the sustainability sides of a decision, particularly when these sides may not be completely convergent. © 2018 by the Regents of the University of California.",,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade,1,sim,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00000
REG_00002,,Implementation of an enterprise asset management system,2018,,Asset Management Strategies Opportunities and Challenges,Book,"Large organisations require an enterprise approach to the implementation of the asset management system. This approach must accommodate both improved levels of governance and change management of all the teams who need to align their work practices with the requirements of the system. The organisation must advise individuals what is expected of their roles, and individuals must be allowed to refine and improve their roles in a sustainable manner. Through effective system documentation, processes, procedures and tasks may be taught or simply refreshed, and individual performance can be assessed to support improvement. Determining the optimal asset management system for an organisation is based on authoritative documents such as the framework in ISO 55001:2014. Importantly the design of the system must tune the generic approach to the nature of the organisation: including its corporate mission, external constraints, capability levels across the internal teams, budget, and systems capability. An important requirement for a successful asset management system is the organizational culture: is there a spirit of cohesiveness and optimistic cooperation prevalent in the organisation, or is environment negative, fraught with internal challenges, political activism and entrenched opposition to change? The worst environment in which to implement the intended future asset management system is within an organisation which refuses to learn and to accept there must be ongoing improvement. © 2019 Nova Science Publishers, Inc. All rights reserved.",Asset management system; Capital projects; Change management; Continual improvement; ISO 55001; Maintenance management; Organizational design; Quality management; Works planning,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade,1,nao,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00001
REG_00003,10.1109/ciced.2018.8592140,Life-cycle management and interact evaluation of distribution cables devices,2018,,China International Conference on Electricity Distribution Ciced,Conference Proceeding,"In recent years, SGCC accelerate the establishment of distribution power networks. The quality management of distribution cables devices directly affects the reliability of power grid operation. This paper proposes a new system about the quality evaluation and management of distribution network cables and accessories based on life-cycle quality evaluation model, which includes access quality quantitative evaluation, operating performance quantitative evaluation and interact overall process quantitative evaluation. It aims to establish the quality evaluation and control platform based on data fusion analysis of life-cycle operation and maintenance data to provide solution of the interact operational process quality evaluation and control of distribution cables and accessories and improve the reliability of power grid operation. © 2018 IEEE",Distribution cable and accessories; Equipment quality; Life cycle management; Test evaluation,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade,1,sim,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00002
REG_00004,10.1109/ciced.2018.8592325,Reliability assessment on switchgear and its controller based on time-spatial-source dimension,2018,,China International Conference on Electricity Distribution Ciced,Conference Proceeding,"The switchgear and its controller are one of the most widely used components in the electric distribution system and it is necessary to ensure their reliability. This paper proposes a Time-Spatial-Source dimension coordinated reliability evaluation model for switchgear and its controller. It aims to build a more systematic reliability evaluation of switchgear and its controller from the source of its fault and the spatial structures. In the spatial dimension, the fault type is divided into many parts according to the location of the switchgear and its controller's components. And then the defect database which can guide the maintenance of operation and maintenance is established on the basis of space dimension. Meanwhile the reliability evaluation of switchgear and its controller adopts Failure Modes and Effects Analysis (FMEA) model to reduce the maintenance cost. In the source dimension, the qualitative and quantitative reliability analysis of the switchgear and its controller are carried out based on Fault Tree Analysis(FTA). Then the reliability improvement measures based on Product Lifecycle Management is offered from the time dimension. Finally, the proposed method is verified on the vacuum load switch cabinet in Guangzhou, China. Demonstration shows that the method presented in this paper can effectively improve the efficiency and accuracy of failure analysis for switchgear and its controller, cut down occurrence of failure and improve the switchgear and its controller utilization. © 2018 IEEE",Distribution system; Product Lifecycle Management; Reliability evaluation; Source dimension; Spatial dimension; Switchgear and its controller,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade,1,sim,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00003
REG_00005,10.3390/buildings9010002,Decision making within the built environment as a strategy for mitigating the risk of malaria and other vector-borne diseases,2018,"Obonyo, E; Pareek, S; Woldu, DO",Buildings,Journal,"Although significant efforts have been made to combat the spread of vector-borne diseases (VBDs), they still account for more than 17% of all infectious diseases. According to the World Health Organization (WHO), there were 216 million estimated cases in 2016. The efforts that resulted in these positive outcomes lack long-term financial sustainability because of the significant amount of funding involved. There is, therefore, a need for more cost-effective intervention. The authors contend that design decisions in the built environment can have a positive impact on the efforts directed at mitigating the risk of malaria in a more cost-effective manner. It is known that the built environment, through features such as openings, can propagate the spread of malaria. There have been some significant efforts directed at addressing this risk. This notwithstanding, an extensive review of closely related work established that built environment professionals have limited access to information on specific ways through which their design decisions can contribute to mitigating the risk of malaria. The validity of this hypothesis was tested through evaluating the opportunities for synergies in selected parts of East Africa. Secondary data derived from relevant urban health journals as well as repositories curated by leading health agencies such as WHO were synthesized and analyzed using a web of causation approach. The outcome of the analysis is a schema of primary and secondary source (risk) factors. The use of the web of causation approach revealed the existing factor-to-factor interactions that could have a reinforcing effect. This information was used to identify the critical linkages and interdependencies across different factors. The outcome of the analysis was mapped against risk factors that can be linked to decisions made during the six primary phases of the construction life cycle: Preliminary phase, conceptual design, detailed design, construction, facilities management, and end of life/disuse. A conceptual architecture for a decision support framework has been proposed and will be developed into a prototype in subsequent efforts. © 2018 by the author.",Built environment; Design decisions; Malaria risk mitigation; Vector-borne diseases; built environment design decisions vector-borne diseases malaria risk mitigation LAND-USE CHANGE CLIMATE-CHANGE EXPOSURE IMPACTS AFRICA HEALTH,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida|wos_nucleo_01|wos_nucleo_04,4,sim,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00004|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00626|WOS::WOS_NUCLEO_01_20260708_part01.ris::00304|WOS::WOS_NUCLEO_04_20260708_part01.ris::00454
REG_00006,10.1016/j.enbuild.2018.09.040,Qualitative analysis of the use of building performance simulation for retrofitting lower quality office buildings in Australia,2018,,Energy and Buildings,Journal,"Building Performance Simulation (BPS) has become an important tool in the upgrading of the existing commercial building stock. It allows a user to predict energy savings from upgrades, and thereby optimise the energy, financial or other benefits of an energy efficiency upgrade. The current paper presents the findings from a qualitative investigation into the use of BPS in the Australian commercial building retrofitting industry. The interviews had a particular focus on challenges for lower quality (known as secondary grade or mid-tier) office buildings. Twelve semi-structured interviews were undertaken with stakeholders in the building energy retrofitting industry, including consultants, government administrators and building managers. Thematic analysis of the interview data revealed numerous challenges for BPS users, primarily related to the lack of reliable, accessible data regarding building operations and energy use in Australia. The poor data availability encouraged the use of simulation to inform decisions but required the modeller to use assumptions and heuristics to develop the model. This, in turn, necessitated a reliance on the expert knowledge of the simulation user, and made the interrogation of a building model by a third party problematic. © 2018 Elsevier B.V.",Building performance simulation; Lower quality office buildings; Semi-structured interviews; Thematic analysis,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade,1,sim,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00005
REG_00007,10.3390/w10121802,Water taxation and subsidy analysis based on consumer water use behavior and water sources inside the Kathmandu Valley,2018,"Ojha, R; Thapa, BR; Shrestha, S; Shindo, J; Ishidaira, H; Kazama, F",Water Switzerland,Journal,"Groundwater is a major alternative water source used to cover the deficit of water supplied by Kathmandu Upatyaka Khanepani Limited (KUKL), the authority responsible for water supply inside Kathmandu Valley. The groundwater price relative to that of KUKL affects priority of usage, and hence, groundwater resources sustainability. Therefore, taxation or subsidies on water sources become necessary based on their implication on environment. In this study, we evaluate volumetric water price, including initial investment, operation and maintenance (O & M) cost for different water sources, and compare it with the water price of KUKL, Kathmandu. The results show that shallow groundwater is cheaper than KUKL's water. For groundwater sustainability, taxation on shallow groundwater seems necessary. For the recent water use of 97 LPCD (liters per capita per day) the taxation requirement is Nepalese Rupee (NRs.) 320/month (0.35% of total expenditure) if the initial investment for well construction and O & M cost are considered, and NRs. 626 (0.7% of total expenditure) if only O & M cost is considered. On the other hand, rainwater harvesting and recharging, the measures to cope with groundwater exploitation, might need 40% to 50% subsidy for their initial investment. © 2018 by the authors.",Comparative pricing; Environmental taxation and subsidies; Sustainable groundwater extraction; Water competitors; comparative pricing environmental taxation and subsidies sustainable groundwater extraction water competitors,Scopus|WoS,scopus_nucleo_a1_manutencao_sustentabilidade|wos_nucleo_01,2,sim,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00006|WOS::WOS_NUCLEO_01_20260708_part01.ris::00561
REG_00008,10.1115/1.4040460,Augmented and virtual reality for underground facilities management,2018,,Journal of Computing and Information Science in Engineering,Journal,"Augmented reality (AR) has experienced a breakthrough in many areas of application thanks to cheaper hardware and a strong industry commitment. In the field of management of urban facilities, this technology allows virtual access and interaction with hidden underground elements. This paper presents a new approach to enable AR in mobile devices such as Google Tango, which has specific capabilities to be used outdoors. The first objective is to provide full functionality in the life-cycle management of subsoil infrastructures through this technology. This implies not only visualization, interaction, and free navigation, but also editing, deleting, and inserting elements ubiquitously. For this, a topological data model for three-dimensional (3D) data has been designed. Another important contribution of the paper is getting exact location and orientation performed in only a few minutes, using no additional markers or hardware. This accuracy in the initial positioning, together with the device sensing, avoids the usual errors during the navigation process in AR. Similar functionality has also been implemented in a nonubiquitous way to be supported by any other device through virtual reality (VR). The tests have been performed using real data of the city of Jaén (Spain). © 2018 by ASME.",,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade,1,sim,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00007
REG_00009,10.1556/1848.2018.9.2.15,Facility management of smart buildings,2018,,International Review of Applied Sciences and Engineering,Journal,"The current development of smart buildings is conditioned by the development of smart technologies, bringing many new phenomena into the construction industry that change ownership, user and management environments. The optimized and truly functional smart building already includes engineering and non-technical aspects, which must, however, be respected during all life cycles. This requires the emergence of completely new expertise or the extension of the existing expertise, including facility management. Smart buildings enable cost savings and facilitated operation to facility management. Moreover, smart buildings also contain significant multidisciplinarity, especially in pertaining technical areas. This requires the facility manager to monitor individual disciplines and ensure their interoperability and optimal functioning to meet the needs of building users. This contribution is based on practical experiences and focuses on the analysis of the new demands that smart buildings require in management issues, the evaluation of synergies between smart buildings and efficient facility management for maximizing the use of the building and its sustainability. It also quantifies the benefits of facility management for the operation of smart buildings and their utility value, depending on the degree of integration of services. © 2018 The Author(s).",BSM; Facility management; Intelligent system; Operating costs; Smart building,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade|scopus_nucleo_a4_gestao_ativos_ciclo_vida,2,sim,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00008|SCOPUS::scopus_nucleo_a4_gestao_ativos_ciclo_vida_raw.csv::00627
REG_00010,10.1002/bate.201800044,Integration of FM-process data in a virtual building model,2018,,Bautechnik,Trade Journal,"Integration of FM-process data in a virtual building model. Building Information Modeling (BIM) is currently one of the most discussed terms in the construction and real estate industry. In Facility Management (FM), the use of BIM is also gaining in importance. The aim of an integrated BIM process is to create a digital building model where all necessary data of the entire life cycle are integrated and accessible for users. The Industry Foundation Classes (IFC), an open standard for improving the interoperability of planning processes in the construction and real estate industry, is the basis for data exchange. Other standards such as COBie and CAFM-Connect are based on IFC. IFC, COBie as well as CAFM-Connect enable the transfer of inventory data from the planning and construction phase to facility management systems. The process data and the historicization of the process data that arise in the context of facility management are currently of no importance in the prementioned standards. In order to obtain a complete digital virtual building model over the entire life cycle, it is therefore necessary to extend the IFC standard to include further property sets that contain process data. These property sets contain order data defined by the customer as well as data on status and consumption generated by FM. This historicization data can then not only be evaluated after it has been recorded, but it can also be transferred to other service providers within the framework of the digital virtual building model without media discontinuity. © 2018, Ernst und Sohn. All rights reserved.",BIM; Building Information Modeling; Building Information Modelling; CAFM-Connect; COBie; digitalization; Facility Management; FM; IFC; inventory data; Maintenance and Repair; process data; virtual building model,Scopus,scopus_nucleo_a1_manutencao_sustentabilidade,1,sim,sim,sim,SCOPUS::scopus_nucleo_a1_manutencao_sustentabilidade_raw.csv::00009
