id_sensibilidade,database,string_id,arquivo_origem,identificador_fonte,eid,wos_accession_number,doi,doi_norm,titulo,titulo_norm,resumo,palavras_chave,autores,ano,fonte_periodico,tipo_documento,url,citacoes,idioma,resumo_presente
SENS_SCOPUS_00000,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105030150701,2-s2.0-105030150701,,10.3390/buildings16030632,10.3390/buildings16030632,The Rise of AI-Enabled Startups in Creating a Low-Carbon Built Environment,the rise of ai enabled startups in creating a low carbon built environment,"The accelerating climate emergency places the built environment under increasing pressure as both a major source of greenhouse gas emissions and a system highly vulnerable to climate impacts. Buildings contribute substantially to global operational energy use and embodied carbon, while much of the existing stock remains poorly adapted to changing climatic conditions. This paper examines the role of artificial intelligence (AI) in improving energy efficiency, enabling circular material flows, and enhancing resilience across the building lifecycle. Based on a structured synthesis of recent peer-reviewed literature, institutional reports, and documented case examples, the study maps AI applications in design, construction, operation, and end-of-life stages, including generative design, predictive maintenance, digital twins, and construction and demolition waste analytics. The analysis shows how AI can reduce operational energy demand, optimize material use, and support reuse and recycling strategies, while enabling new software-driven business models in the building sector. The paper argues that AI’s effectiveness depends on data availability, interoperability, regulatory alignment, and workforce capabilities, and that its benefits are maximized when integrated with circular economy strategies and supportive policy and financial frameworks. This integrated perspective highlights pathways for reducing emissions and improving the resilience of the built environment under climate stress. © 2026 by the author.",built environment; circular economy; climate emergency; generative AI; resilience; sustainability,Pacheco-Torgal F.,2026,Buildings,Artigo de periodico,https://www.scopus.com/pages/publications/105030150701?origin=resultslist,0,English,sim
SENS_SCOPUS_00001,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105036915188,2-s2.0-105036915188,,10.1016/B978-0-443-27388-9.00011-8,10.1016/b978-0-443-27388-9.00011-8,AI- and ML-driven intelligent design of digital twins,ai and ml driven intelligent design of digital twins,"Digital twins (DTs), or virtual copies of real-world systems, have changed and improved many industries in terms of monitoring, analysis, and optimization in real time. Artificial intelligence (AI) and machine learning (ML) together have significantly enhanced the functionalities of DTs so that they become more efficient and versatile decision-making and process improvement tools. The production and application of DTs most importantly rely on AI and ML. Such technologies allow integration and analysis of very large amounts of data from various sources and provide an overview of the physical system. The personnel involved in the company may gain deeper insights into overall business processes and identify changes that would remain unknown when applying the traditional methods, based on the employment of the capabilities of AI-based integration and data analysis. An essential example of ML use cases in the framework of DTs is predictive maintenance. Any ML algorithm can resort to historical data and immediate sensor data to predict potential failures of application equipment and propose a repair schedule, significantly reducing operational downtime and refining the distribution of resources. The AI-powered optimization and simulation methods can give organizations the possibility to consider numerous scenarios and identify the most effective ways to resolve complex issues. The DTs are AI-enabled and can detect and decide on the fly, which allows them to react to changing conditions instantly and prevent some of the issues before they happen. In addition, AI-powered predictive analysis and risk management allow the firms to go a step ahead and address the potential problems in advance by developing effective risk reduction strategies. DTs are mainly constructed with AI and ML in various industries. In the context of manufacturing and Industry 4.0, DTs play an important role in optimizing production and increasing the quality control standards. Urban planners use the DTs to strategize building smart cities, while healthcare professionals use them for medical diagnosis and planning. In the aerospace and auto industries, DTs are beneficial in improving the product development, testing, and other maintenance processes. This chapter focuses on the smart creation of DTs with the help of AI and ML technology. The discussion will also dive into the complex mechanism behind building advanced, digital replicas of physical systems, particularly the support of the AI and ML in the advancement of their usefulness and precision. The chapter begins with the discussion of the role of data integration and analysis in the creation of a DT. This section shows how AI and ML algorithms facilitate the seamless combination of different sources of data into one and reach a much more dynamic and detailed similitude of the physical member. The chapter illustrates how these technologies can convert raw information into valuable information, which makes the DT capable of replicating the real-world situations and behaviors quite dramatically. Moreover, the chapter addresses the profound role of AI and ML in the optimization and simulation of DTs. We observe how these advanced technologies are able to give more precise predictions and process the decision-making and testing of even complex scenarios. The chapter focuses on how AI-enabled optimization methodologies and AI-based simulations driven by ML are broadening the opportunities of DTs, thus driving innovation in a number of verticals. © 2026 Elsevier Inc. All rights reserved.","Artificial intelligence; Data integration; Digital twins,; Machine learning,; Predictive maintenance",Manasa R.; Navya K.; Keshavamurthy R.; Madhura R.; Mahesh Kumar N.,2026,Digital Twins for Sustainable Development,Livro ou serie de livro,https://www.scopus.com/pages/publications/105036915188?origin=resultslist,0,English,sim
SENS_SCOPUS_00002,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105040789936,2-s2.0-105040789936,,10.1109/ICESIC67389.2026.11496424,10.1109/icesic67389.2026.11496424,Deep Hybrid Spatiotemporal Learning for Smart Facility Management and Energy-Aware Enterprise Operations,deep hybrid spatiotemporal learning for smart facility management and energy aware enterprise operations,"Intelligent facility management demands very dynamic, scalable and interpretable systems that are capable of learning complex energy consumption patterns, sensor dynamics and occupancy behavior. This paper introduces a new type of Deep Hybrid Spatiotemporal Learning Framework that establishes a synthesis of several rare artificial intelligence methods such as Spatiotemporal Graph Neural Networks with Attention-Gated Nodes (STGNN-AGN) and TransformerSwitching Autoencoders (TSAE), Bi-Directional Temporal Causal Learning (BiTCL), and Dual-Latent Variational State Encoding (DLVSE). The suggested system enables real-time micro- zone energy prediction, connotation detection, occupancy modeling and contextual control using edge-deployed modules. Empirical evidence in 10 facility zones indicates an excellent forecasting performance in terms of MAPE of 1.78, anomaly-detecting F1-scores of over 96, and energy-saving of 17.8% and 90%+ thermal comfort. Also, there was the mining of temporal motifs that revealed repetitive inefficiencies that were rectified through the process of reinforcement-oriented scheduling. The proposed hybrid architecture is also 12-15% more efficient in forecasting energy and 22% more responsive to the change of contexts compared to baseline LSTM and the models of static control. The framework is compatible and scalable to the dynamic adherence of the facility. Its combination opens the pathway to intelligent, sustainable operation of the enterprise that takes energy efficiency and occupants satisfaction into the balance that would be considerable step toward the real-time and self-optimizing smart infrastructure. © 2026 IEEE.",Energy Forecasting; Smart Facility Management; Spatiotemporal Graph Neural Network; Transformer Autoencoder,Hamza M.; Kishore Babu K.; Hariharan G.; Lakshmi Parvathi A.; Alekhya J.; Arun I.,2026,"IEEE International Conference on Electronic Systems and Intelligent Computing, ICESIC 2026 - Proceedings",Trabalho em evento,https://www.scopus.com/pages/publications/105040789936?origin=resultslist,0,English,sim
SENS_SCOPUS_00003,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105023590989,2-s2.0-105023590989,,10.1007/978-3-032-06806-4_92,10.1007/978-3-032-06806-4_92,Towards Cognitive Buildings: Filling Technological Gap with Enabling Technologies,towards cognitive buildings filling technological gap with enabling technologies,"Future buildings aim to enhance residents’ quality of life while improving safety, security, efficiency, and sustainability. Integrating technologies like Industry 4.0, Internet of Things (IoT), Artificial Intelligence (AI), machine learning, and data analytics offers data-driven solutions for optimizing energy efficiency and predictive maintenance. Despite these advancements, a performance gap persists due to the dynamic nature of smart buildings and the influence of human behaviors and preferences, leading to discrepancies between projected and actual outcomes. Energy management sub-systems in buildings, such as lighting and HVAC systems, often operate inefficiently, especially when misaligned with occupant needs, such as heating empty or partially occupied spaces. Device operation flexibility (direct flexibility) presents significant potential for improving energy management, but this remains heavily reliant on effective information exchange between human occupants (indirect flexibility) and cognitive building (CB) interactive energy management systems. By incorporating hybrid digital twin modeling, advanced predictive and prescriptive analytics can be employed to track device behavior and provide customized feedback, creating a bidirectional information channel that enhances occupant engagement. This approach can improve overall building energy efficiency and reduce operational costs without compromising comfort. This study introduces a novel, user-centric cognitive system for energy efficiency, utilizing demand-side recommendations and thermal comfort controls via multi-agent reinforcement learning. Additionally, a conversational chatbot is explored to facilitate user engagement. The results demonstrate promising outcomes, including a 15.5% reduction in energy load, 69% user engagement, and up to 94% improvement in comfort levels. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Cognitive Buildings; Conversational Chatbot; Demand Side Recommendations; Hybrid Digital-twins; Occupant Comfort,Onile A.E.; Köse A.; Petlenkov E.; Belikov J.,2026,Lecture Notes in Civil Engineering,Trabalho em evento,https://www.scopus.com/pages/publications/105023590989?origin=resultslist,1,English,sim
SENS_SCOPUS_00004,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105043799219,2-s2.0-105043799219,,10.1145/3813803,10.1145/3813803,"Building the Human Remains Digital Library (HRDL)—The Editorial Steps behind Sourcing, Cleaning and Aligning a Cross-Discipline Multi-Lingual Thematic Resource",building the human remains digital library hrdl the editorial steps behind sourcing cleaning and aligning a cross discipline multi lingual thematic resource,"The Human Remains Digital Library (HRDL), funded by a seven-year UKRI Future Leader’s Fellowship, is the first cross-disciplinary, multi-lingual thematic resource created to support researchers, heritage professionals and decision makers managing historic human remains encountered in British churches and cathedrals. It integrates for the first time curated excerpts from 7th- to 19th-century written accounts (whether real, embellished or imagined) with standardised summaries of modern archaeological evidence for historic exhumations, innovating both temporal–spatial analysis of burial (re-)locations and investigation of evolving ethical, emotional and theological notions of ‘respect’ for the dead. HRDL departs from manuscript-centric libraries by integrating multi-lingual textual excerpts and standardised archaeological summaries within a single thematic, cross-period corpus, enabling site- and genre-specific retrieval and analysis, advancing digital library practice through a combined workflow: discovery via concordance- and regex-driven multi-lingual search, bespoke re-OCR and cleaning pipelines, cross-period spelling normalisation, controlled vocabularies bridging historical text and archaeological terminologies and a CIDOC-CRM–aligned metadata ontology served through a user-centric Blazor interface. The resulting corpus (3,294 records at launch of over a million words, across multiple sub-corpora and languages, with new translations for previously inaccessible medieval sources) provides site-specific and period-specific evidence to support church building maintenance and (re-)burial policy while opening large-scale research questions previously impossible to address. This article outlines the editorial and technical rationale behind HRDL’s design and contributes a reproducible blueprint for building thematic, multi-lingual, cross-evidential digital libraries aimed at both academic analysis and applied knowledge exchange. © 2026 Copyright held by the owner/author(s).",church archaeology; digital content challenges; digital libraries; linked data; thematic builds; vocabulary standardisation,Nugent R.; Butler J.O.; Cahilly-Bretzin G.; Daubney A.; Farrow T.; Foster K.; Gribomont I.; Hopwood L.,2026,Journal on Computing and Cultural Heritage,Artigo de periodico,https://www.scopus.com/pages/publications/105043799219?origin=resultslist,0,English,sim
SENS_SCOPUS_00005,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105033688429,2-s2.0-105033688429,,10.1051/e3sconf/202669801001,10.1051/e3sconf/202669801001,Towards an Intelligent Aircraft Surface Inspection System: Image-Based Recognition and Classification of Structural Defects,towards an intelligent aircraft surface inspection system image based recognition and classification of structural defects,"With the growth and modernisation of the air transport sector and the aviation industry, ensuring the structural integrity of aircraft has become paramount for maintaining aviation safety, minimising unexpected downtime, and adhering to regulatory standards. Surface anomalies, such as corrosion, cracks, and paint degradation, can significantly affect an aircraft's airworthiness. This study proposes a detailed analysis of various surface defects, classified by type, affected area, and material, to develop a consistent Classification Catalogue. This catalogue will serve as the foundation for creating a structured findings database using Roboflow, which will be employed to train models for the automatic detection and classification of aircraft surface defects using advanced image processing and machine learning techniques, with a particular focus on convolutional neural networks (CNNs). The key innovation of this research lies in the development of a validated image dataset structured around a comprehensive and standardised Defect Classification Catalogue. This catalogue has been compiled through a rigorous review of scientific literature and industrial standards, ensuring terminological consistency, improving annotation accuracy, and facilitating effective model training. A methodological pipeline is introduced, which includes: 1) Image acquisition from open-source databases, industrial archives, and controlled field inspections, 2)Data augmentation techniques (e.g., rotation, noise injection, and cropping) to improve model generalisability, 3) Manual annotation guided by the established catalogue, and 4) Expert validation to ensure the precision and completeness of annotations. To support defect traceability and facilitate integration into predictive maintenance workflows, a centralised platform, the Aircraft Inspection Repository (AIR), has been developed. AIR enhances accessibility, supports interactive data visualisation, and provides access to inspection data along with their corresponding reports, thereby promoting dynamic decision-making and long-term structural monitoring. © The Authors, published by EDP Sciences.",,Chabne S.; Mesbahi O.; Santos N.P.; Tlemcani M.; de Saude J.L.,2026,E3S Web of Conferences,Trabalho em evento,https://www.scopus.com/pages/publications/105033688429?origin=resultslist,0,English,sim
SENS_SCOPUS_00006,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105041894664,2-s2.0-105041894664,,10.1007/s10586-026-06080-2,10.1007/s10586-026-06080-2,A cost-sensitive transformer model for prognostics under highly imbalanced industrial data,a cost sensitive transformer model for prognostics under highly imbalanced industrial data,"The rapid influx of data-driven models into the industrial sector has been facilitated by the proliferation of sensor technology, enabling the collection of vast quantities of data. However, leveraging these models for failure detection and prognosis poses significant challenges, including issues like missing values and class imbalances. Moreover, the cost sensitivity associated with industrial operations further complicates the application of conventional models in this context. This paper introduces a novel cost-sensitive transformer model developed as part of a systematic workflow, which also integrates a hybrid resampler and a regression-based imputer. After subjecting our approach to rigorous testing using the air pressure system failure dataset from Scania trucks and the semiconductor manufacturing dataset, we observed a substantial enhancement in performance compared to state-of-the-art methods. Moreover, we conduct an ablation study to analyze the contributions of different components in our proposed method. Our findings highlight the potential of our method in addressing the unique challenges of failure prediction in industrial settings, thereby contributing to enhanced reliability and efficiency in industrial operations. © The Author(s) 2026.",Air Pressure System Failure Prediction; Focal Loss; Predictive Maintenance; Prognostics and Health Management; Repeated Edited Nearest Neighbor; Support Vector Machine-Synthetic Minority Over-sampling Technique; Transformer,Beikmohammadi A.; Hamian M.H.; Khoeyniha N.; Lindgren T.; Steinert O.; Magnússon S.,2026,Cluster Computing,Artigo de periodico,https://www.scopus.com/pages/publications/105041894664?origin=resultslist,0,English,sim
SENS_SCOPUS_00007,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105042176688,2-s2.0-105042176688,,,,AI for Building Energy Management: Challenges and Opportunities,ai for building energy management challenges and opportunities,"As global focus intensifies on reducing emissions and improving energy efficiency, buildings have emerged as critical targets due to their significant share of energy consumption and carbon output. This article explores how artificial intelligence (AI) is revolutionizing building energy management by addressing inefficiencies, enhancing automation, and supporting sustainability goals. AI-powered Energy Management Systems (EMS), when combined with IoT devices, digital twins, and clean technologies like solar PV and battery energy storage systems, allow real-time monitoring, predictive maintenance, and intelligent control. These solutions optimize HVAC systems, lighting, load distribution, and occupant comfort while significantly reducing operational costs and energy waste. Despite challenges such as aging infrastructure, data fragmentation, and emerging cybersecurity concerns, the opportunities for improvement remain substantial. Real-world applications demonstrate how AI supports smarter heating, ventilation, and air conditioning (HVAC) and lighting systems, demand response, predictive maintenance, digital twin and smart energy management with solar photovoltaic (PV) and Battery Energy Storage System (BESS), contributing to energy savings and cost reduction. AI stands as a key enabler in the shift toward resilient, adaptive, and low-carbon buildings that meet both current demands and long-term climate objectives. The article also discusses how policy support, new business models, and collaboration between stakeholders are helping accelerate adoption. AI is increasingly recognized not just as a technological upgrade but as a catalyst for creating low-carbon, resilient buildings prepared for future demands. The text only may be used under licence CC BY 4.0. All other elements (illustrations, imported files) may be subject to specific use terms. https://creativecommons.org/licenses/by/4.0/",,Dahlan N.Y.; Mahmud N.A.,2026,Field Actions Science Report,Artigo de periodico,https://www.scopus.com/pages/publications/105042176688?origin=resultslist,0,English,sim
SENS_SCOPUS_00008,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105031943993,2-s2.0-105031943993,,10.1109/TSMC.2026.3659658,10.1109/tsmc.2026.3659658,An Adversarial Robustness Enhancement Framework for Industrial Fault Diagnosis System With Spectral and Data Imbalance Awareness,an adversarial robustness enhancement framework for industrial fault diagnosis system with spectral and data imbalance awareness,"Cyber-physical systems (CPSs), which integrate sensing, computation, and control, are widely deployed in safety-critical applications such as industrial monitoring and predictive maintenance. Industrial fault diagnosis systems (IFDSs), as a representative CPS, enable intelligent health monitoring but are increasingly vulnerable to stealthy adversarial attacks - carefully crafted input perturbations that mislead models while remaining imperceptible. These attacks compromise system safety, highlighting the urgent need for learning-based security control in CPS. This article proposes multilayered noisy mixup (MLNM)-frequency shift (FrSh), a theoretically grounded adversarial defense framework for IFDS under real-world conditions involving nonstationary signals and class imbalance. The framework integrates two components: multilayered noisy mixup (MLNM) and frequency shift (FrSh). MLNM injects structured additive and multiplicative noise during training and is theoretically proven to introduce first- and second-order regularization terms in the loss function, enhancing generalization and gradient stability. FrSh performs spectrum-aware transformations that preserve conjugate symmetry and spectral integrity, with formal guarantees of aliasing-free, reversible frequency mapping, facilitating effective learning of high-frequency diagnostic features. Extensive experiments on benchmark datasets demonstrate that MLNM-FrSh significantly improves adversarial robustness and standard accuracy compared to state-of-the-art baselines. This work contributes a reliable and theoretically principled solution for attack-resilient fault diagnosis, advancing the broader goal of intelligent security control in CPS.  © 2013 IEEE.",Adversarial defense; adversarial robustness; fault diagnosis; imbalanced data,Zhao J.; Li N.,2026,"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Artigo de periodico,https://www.scopus.com/pages/publications/105031943993?origin=resultslist,1,English,sim
SENS_SCOPUS_00009,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,SCOPUS_A5_2009-2026.csv,2-s2.0-105036145908,2-s2.0-105036145908,,10.4018/979-8-3373-5457-6.ch006,10.4018/979-8-3373-5457-6.ch006,Integrating Large Language Models and Blockchain Technology for Digital Transformation in the Oil and Gas Industry: Enhancing Efficiency and Transparency in Operations,integrating large language models and blockchain technology for digital transformation in the oil and gas industry enhancing efficiency and transparency in operations,"Growing operational complexity, ageing infrastructure, and rising demands for efficiency and sustainability are all contributing factors to the oil and gas industry's current dramatic transformation. To improve operations in offshore facilities, this chapter investigates the combination of two innovative digital technologies: blockchain and large language models (LLMs). LLMs offer sophisticated features for handling unstructured technical data, automating documentation, enhancing decision-making, and assisting with predictive maintenance. Blockchain guarantees trust, transparency, and safe, decentralised data management throughout the value chain. Applications like smart contract automation, secure data exchange, real-time compliance, andintelligentassetmonitoring are made possible by these technologies working together. The chapter also discusses issues with workforce development, data quality assurance, integration, and compatibility with legacy systems. Copyright © 2026 by IGI Global Scientific Publishing.",,Abdullahi S.; Ullah F.; Ashraf T.C.; Yahaya M.S.; Danyaro K.U.; Zayyad M.A.; Shaikh M.U.R.,2026,AI and Blockchain Applications in the Oil and Gas Industry,Livro ou serie de livro,https://www.scopus.com/pages/publications/105036145908?origin=resultslist,0,English,sim
