id_sensibilidade,database,string_id,titulo,doi,ano,n_registros_agrupados_sensibilidade,ids_sensibilidade_agrupados,classe,match_corpus_id,motivo_match
SENS_SCOPUS_00000,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,The Rise of AI-Enabled Startups in Creating a Low-Carbon Built Environment,10.3390/buildings16030632,2026,2,SENS_SCOPUS_00000|SENS_WOS_art01_00724,NOVO_POR_DOI,,
SENS_SCOPUS_00001,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI- and ML-driven intelligent design of digital twins,10.1016/B978-0-443-27388-9.00011-8,2026,1,SENS_SCOPUS_00001,NOVO_POR_DOI,,
SENS_SCOPUS_00002,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Deep Hybrid Spatiotemporal Learning for Smart Facility Management and Energy-Aware Enterprise Operations,10.1109/ICESIC67389.2026.11496424,2026,1,SENS_SCOPUS_00002,JA_EXISTIA_NO_CORPUS,REG_04847,doi_exato
SENS_SCOPUS_00003,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Towards Cognitive Buildings: Filling Technological Gap with Enabling Technologies,10.1007/978-3-032-06806-4_92,2026,2,SENS_SCOPUS_00003|SENS_WOS_art01_00731,NOVO_POR_DOI,,
SENS_SCOPUS_00004,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Building the Human Remains Digital Library (HRDL)—The Editorial Steps behind Sourcing, Cleaning and Aligning a Cross-Discipline Multi-Lingual Thematic Resource",10.1145/3813803,2026,1,SENS_SCOPUS_00004,NOVO_POR_DOI,,
SENS_SCOPUS_00005,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Towards an Intelligent Aircraft Surface Inspection System: Image-Based Recognition and Classification of Structural Defects,10.1051/e3sconf/202669801001,2026,1,SENS_SCOPUS_00005,NOVO_POR_DOI,,
SENS_SCOPUS_00006,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,A cost-sensitive transformer model for prognostics under highly imbalanced industrial data,10.1007/s10586-026-06080-2,2026,2,SENS_SCOPUS_00006|SENS_WOS_art01_00397,NOVO_POR_DOI,,
SENS_SCOPUS_00007,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI for Building Energy Management: Challenges and Opportunities,,2026,1,SENS_SCOPUS_00007,NOVO_POR_TITULO,,
SENS_SCOPUS_00008,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,An Adversarial Robustness Enhancement Framework for Industrial Fault Diagnosis System With Spectral and Data Imbalance Awareness,10.1109/TSMC.2026.3659658,2026,2,SENS_SCOPUS_00008|SENS_WOS_art01_00277,NOVO_POR_DOI,,
SENS_SCOPUS_00009,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Integrating Large Language Models and Blockchain Technology for Digital Transformation in the Oil and Gas Industry: Enhancing Efficiency and Transparency in Operations,10.4018/979-8-3373-5457-6.ch006,2026,1,SENS_SCOPUS_00009,NOVO_POR_DOI,,
SENS_SCOPUS_00010,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,From instance segmentation to physical quantification: High-resolution UAV-based dataset for façade defect assessment,10.1016/j.autcon.2026.106980,2026,2,SENS_SCOPUS_00010|SENS_WOS_art02_00382,NOVO_POR_DOI,,
SENS_SCOPUS_00011,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Deep Learning-Based Fault Detection Framework for Predictive Maintenance in HVAC Systems,10.1109/SUSTECH67720.2026.11536619,2026,1,SENS_SCOPUS_00011,NOVO_POR_DOI,,
SENS_SCOPUS_00012,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Remaining useful life prediction of mechanical components using multistate transfer learning and multiphase control charts,10.1016/j.knosys.2026.116184,2026,2,SENS_SCOPUS_00012|SENS_WOS_art01_00298,NOVO_POR_DOI,,
SENS_SCOPUS_00013,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"EduWatt: Smart Power Monitoring and Prediction System using IoT, AI, and Flutter",10.1109/ICOECA68095.2026.11485136,2026,1,SENS_SCOPUS_00013,NOVO_POR_DOI,,
SENS_SCOPUS_00014,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Digital twin-based improvement of a domestic hot water control algorithm: A case study,10.1016/j.enbuild.2026.117354,2026,2,SENS_SCOPUS_00014|SENS_WOS_art01_00444,NOVO_POR_DOI,,
SENS_SCOPUS_00015,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Harnessing AI for sustainable engineering: innovations and challenges,10.1680/jensu.25.00054,2026,2,SENS_SCOPUS_00015|SENS_WOS_art02_00339,NOVO_POR_DOI,,
SENS_SCOPUS_00016,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,IoT for Industrial Automation: A Review on Industry 4.0 Applications,10.5815/ijieeb.2026.02.11,2026,1,SENS_SCOPUS_00016,NOVO_POR_DOI,,
SENS_SCOPUS_00017,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI-enhanced fluorescence spectroscopy for predictive biomarker detection in personalized medicine,10.1117/12.3081312,2026,1,SENS_SCOPUS_00017,NOVO_POR_DOI,,
SENS_SCOPUS_00018,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Predictive Maintenance of Mining Centrifuges Using Machine Learning and Deep Learning Models,10.48084/etasr.15162,2026,1,SENS_SCOPUS_00018,NOVO_POR_DOI,,
SENS_SCOPUS_00019,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,A Survey of Smart Grid Emerging Use Cases and Relevant 5G and 6G Capabilities and Features,10.1109/ACCESS.2026.3667671,2026,2,SENS_SCOPUS_00019|SENS_WOS_art01_00739,NOVO_POR_DOI,,
SENS_SCOPUS_00020,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"A Pipeline for the Assessment of 1960s Church Buildings with Archival Research, Digital Surveying Tools and Computer Vision: The Case of Our Lady of Stockel – Belgium (1962–67)",10.1007/978-3-032-16767-5_60,2026,2,SENS_SCOPUS_00020|SENS_WOS_art01_00425,NOVO_POR_DOI,,
SENS_SCOPUS_00021,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"A PLS-SEM analysis of people, management, and organisational culture influences on AI-driven hospital facilities management systems",10.3389/fbuil.2025.1717168,2026,2,SENS_SCOPUS_00021|SENS_WOS_art01_00579,NOVO_POR_DOI,,
SENS_SCOPUS_00022,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Leveraging Artificial Intelligence to Enhance Efficiency and Quality in Malaysia’s Industrialised Building System,10.1063/5.0327727,2026,1,SENS_SCOPUS_00022,NOVO_POR_DOI,,
SENS_SCOPUS_00023,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"5th Energy Informatics Academy Conference, EI.A 2025",,2026,1,SENS_SCOPUS_00023,NOVO_POR_TITULO,,
SENS_SCOPUS_00024,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Text-mining framework for domain-specific dictionaries in hospital building maintenance requests,10.1016/j.autcon.2025.106668,2026,1,SENS_SCOPUS_00024,NOVO_POR_DOI,,
SENS_SCOPUS_00025,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Invisible Hands of Hospitality: Robotics in Housekeeping, Reception, and Concierge Operations",10.4018/979-8-3373-6541-1.ch004,2026,1,SENS_SCOPUS_00025,NOVO_POR_DOI,,
SENS_SCOPUS_00026,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Research on the application of digital twin technology in the offshore wind energy sector,10.1063/5.0331688,2026,1,SENS_SCOPUS_00026,JA_EXISTIA_NO_CORPUS,REG_04658,doi_exato
SENS_SCOPUS_00027,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Explainable and secure wind power forecasting: SHAP-enhanced framework with feature stability, anomaly detection, and adversarial robustness",10.1016/j.asoc.2026.115091,2026,2,SENS_SCOPUS_00027|SENS_WOS_art01_00411,NOVO_POR_DOI,,
SENS_SCOPUS_00028,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Predictive maintenance and optimized energy management in smart homes using machine learning based intelligent controller,10.1007/s12046-025-03016-1,2026,1,SENS_SCOPUS_00028,NOVO_POR_DOI,,
SENS_SCOPUS_00029,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,An Edge-Enabled Predictive Maintenance Approach Based on Anomaly-Driven Health Indicators for Industrial Production Systems,10.3390/a19040286,2026,2,SENS_SCOPUS_00029|SENS_WOS_art01_00678,NOVO_POR_DOI,,
SENS_SCOPUS_00030,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI-driven predictive maintenance for medical imaging equipment: A deep learning framework based on the IoMT data,10.1016/j.ress.2025.112152,2026,2,SENS_SCOPUS_00030|SENS_WOS_art01_00332,NOVO_POR_DOI,,
