titulo_sensibilidade,id_sensibilidade,doi_sensibilidade,titulo_pareado,id_pareado,doi_pareado,motivo
Experimental investigation on operating conditions for augmented reality utilizing indoor building element’s images as markers for construction and facility management,SENS_SCOPUS_00312,10.1016/j.kscej.2025.100484,Experimental Investigation on Operating Conditions for Augmented Reality Utilizing Indoor Building Element's Images as Markers for Construction and Facility Management,REG_08530,10.2139/ssrn.4800054,titulo_exato_doi_diferente
"2019 Canadian Society for Civil Engineering Annual Conference, CSCE 2019",SENS_SCOPUS_02531,,"Canadian Society of Civil Engineering Annual Conference, CSCE 2021",REG_07446,,titulo_aproximado_0.93_nao_confirmado
Frontmatter,SENS_CROSSREF_00083,10.1515/9781683924654-fm,Frontmatter,REG_08878,10.36019/9781978818408-fm,titulo_exato_doi_diferente
CONTENTS,SENS_CROSSREF_00087,10.1515/9781683924654-toc,Contents,REG_08674,10.1016/b978-0-443-23687-7.00013-x,titulo_exato_doi_diferente
Contents,SENS_CROSSREF_00291,10.1515/9783112217122-toc,Contents,REG_08674,10.1016/b978-0-443-23687-7.00013-x,titulo_exato_doi_diferente
Frontmatter,SENS_CROSSREF_00298,10.1515/9783112217122-fm,Frontmatter,REG_08878,10.36019/9781978818408-fm,titulo_exato_doi_diferente
Copyright,SENS_CROSSREF_00359,10.1016/b978-0-323-90933-4.09996-4,Copyright,REG_08652,10.1016/b978-0-443-23687-7.00012-8,titulo_exato_doi_diferente
References,SENS_CROSSREF_01229,10.1075/nlp.12.refs,References,REG_08811,10.1108/978-1-62396-243-220251015,titulo_exato_doi_diferente
References,SENS_CROSSREF_01265,10.1075/nlp.11.refs,References,REG_08811,10.1108/978-1-62396-243-220251015,titulo_exato_doi_diferente
Introduction,SENS_CROSSREF_01350,10.1007/978-3-031-31384-4_1,Introduction,REG_00925,10.1007/978-81-322-2722-9_1,titulo_exato_doi_diferente
Bayesian Neural Network-Based Approach for Probabilistic Prediction of Building Energy Demands,SENS_CROSSREF_01428,10.20944/preprints202409.2211.v1,Bayesian-Neural-Network-Based Approach for Probabilistic Prediction of Building-Energy Demands,REG_06176,10.3390/su16229943,titulo_exato_doi_diferente
Frontmatter,SENS_CROSSREF_01791,10.1515/9783111425078-fm,Frontmatter,REG_08878,10.36019/9781978818408-fm,titulo_exato_doi_diferente
