id_sensibilidade,database,string_id,titulo,doi,ano,n_registros_agrupados_sensibilidade,ids_sensibilidade_agrupados,classe,match_corpus_id,motivo_match
SENS_SCOPUS_00002,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Deep Hybrid Spatiotemporal Learning for Smart Facility Management and Energy-Aware Enterprise Operations,10.1109/ICESIC67389.2026.11496424,2026,1,SENS_SCOPUS_00002,JA_EXISTIA_NO_CORPUS,REG_04847,doi_exato
SENS_SCOPUS_00026,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Research on the application of digital twin technology in the offshore wind energy sector,10.1063/5.0331688,2026,1,SENS_SCOPUS_00026,JA_EXISTIA_NO_CORPUS,REG_04658,doi_exato
SENS_SCOPUS_00039,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,A digital twin implementation strategy for predictive maintenance in facility management,10.1108/JFM-07-2025-0103,2026,2,SENS_SCOPUS_00039|SENS_WOS_art01_00776,JA_EXISTIA_NO_CORPUS,REG_04872,doi_exato
SENS_SCOPUS_00051,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Digital transformation in industrial maintenance: an overview of Industry 4.0 technologies, their advantages and challenges",10.1108/IJQRM-10-2025-0378,2026,2,SENS_SCOPUS_00051|SENS_WOS_art02_00305,JA_EXISTIA_NO_CORPUS,REG_07833,doi_exato
SENS_SCOPUS_00054,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Enabling Predictive Maintenance in Smart Buildings: A Review of AI Approaches, Digital Integration, and System Challenges",10.1109/ACCESS.2026.3686217,2026,2,SENS_SCOPUS_00054|SENS_WOS_art01_00013,JA_EXISTIA_NO_CORPUS,REG_07867,doi_exato
SENS_SCOPUS_00063,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,An Improved Geospatial Object Detection Framework for Complex Urban and Environmental Remote Sensing Scenes,10.3390/app16031288,2026,2,SENS_SCOPUS_00063|SENS_WOS_art01_00968,JA_EXISTIA_NO_CORPUS,REG_04775,doi_exato
SENS_SCOPUS_00072,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Digitalised Predictive Maintenance in Railways: A Systematic Review of AI, BIM, and Digital Twins",10.3390/infrastructures11030087,2026,2,SENS_SCOPUS_00072|SENS_WOS_art01_00565,JA_EXISTIA_NO_CORPUS,REG_07842,doi_exato
SENS_SCOPUS_00083,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Multi-component prognostics and maintenance optimization in wind farms using federated learning and hybrid degradation models,10.1108/JQME-09-2025-0109,2026,2,SENS_SCOPUS_00083|SENS_WOS_art02_00052,JA_EXISTIA_NO_CORPUS,REG_07872,doi_exato
SENS_SCOPUS_00088,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Data integration and machine learning applications for improved text classification and performance benchmarking in small buildings,10.1108/JFM-10-2024-0122,2026,2,SENS_SCOPUS_00088|SENS_WOS_art01_00532,JA_EXISTIA_NO_CORPUS,REG_04830,doi_exato
SENS_SCOPUS_00093,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Multi-level predictive group maintenance optimization method for multi-component systems: Subsea Christmas tree as a case,10.1016/j.oceaneng.2026.126144,2026,1,SENS_SCOPUS_00093,JA_EXISTIA_NO_CORPUS,REG_07829,doi_exato
SENS_SCOPUS_00094,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Supporting facility maintenance decision-making under imbalanced work orders using natural language processing and interpretable machine learning,10.1080/17452007.2026.2626991,2026,3,SENS_SCOPUS_00094|SENS_WOS_art01_00554|SENS_CROSSREF_01202,JA_EXISTIA_NO_CORPUS,REG_09257,doi_exato
SENS_SCOPUS_00098,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,A Review of AI-based Optimization and Monitoring Using Wearable Data in Smart Buildings,10.1109/SUSTECH67720.2026.11536515,2026,1,SENS_SCOPUS_00098,JA_EXISTIA_NO_CORPUS,REG_07599,doi_exato
SENS_SCOPUS_00099,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Automating appliance verification in facilities management using a denoised Voltage-Current feature extraction and classification pipeline,10.1016/j.jii.2025.101040,2026,2,SENS_SCOPUS_00099|SENS_WOS_art01_00819,JA_EXISTIA_NO_CORPUS,REG_04721,doi_exato
SENS_SCOPUS_00105,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Integrating Artificial Intelligence and Building Information Modeling for Train Transport Management,10.1007/978-3-032-10664-3_31,2026,1,SENS_SCOPUS_00105,JA_EXISTIA_NO_CORPUS,REG_07866,doi_exato
SENS_SCOPUS_00110,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Application of Green and Low-Carbon Technologies in Bridge Engineering: A Review; [绿色低碳技术在桥梁工程中的应用综述],10.3969/j.issn.0258-2724.20260011,2026,1,SENS_SCOPUS_00110,JA_EXISTIA_NO_CORPUS,REG_04579,doi_exato
SENS_SCOPUS_00124,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI-Integrated Digital Twin Framework for Quality and Performance Management in Sustainable Buildings,10.1109/ICETSIS68266.2026.11549378,2026,1,SENS_SCOPUS_00124,JA_EXISTIA_NO_CORPUS,REG_04826,doi_exato
SENS_SCOPUS_00125,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Transformative Tracks: MTR's IoT and Digital Twin Integration for Sustainable Mobility,10.1049/icp.2026.0498,2026,1,SENS_SCOPUS_00125,JA_EXISTIA_NO_CORPUS,REG_04678,doi_exato
SENS_SCOPUS_00128,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Renovation Decision Support System for Residential Buildings Based on the Analysis of Operational Documentation, BIM, and Machine Learning",10.3390/su18083840,2026,2,SENS_SCOPUS_00128|SENS_WOS_art01_00787,JA_EXISTIA_NO_CORPUS,REG_04675,doi_exato
SENS_SCOPUS_00131,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Bridging Innovation and Sustainability: The Strategic Role of High-Efficiency Motors in Advancing Industry 5.0,10.3390/en19041003,2026,1,SENS_SCOPUS_00131,JA_EXISTIA_NO_CORPUS,REG_07844,doi_exato
SENS_SCOPUS_00140,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,A data-driven predictive maintenance framework for smart buildings: Integrating digital twin and machine learning in HVAC systems,10.1016/j.jobe.2026.115416,2026,3,SENS_SCOPUS_00140|SENS_WOS_art01_00548|SENS_CROSSREF_01800,JA_EXISTIA_NO_CORPUS,REG_04751,doi_exato
SENS_SCOPUS_00159,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Running an electron microscopy core facility,10.1111/jmi.70088,2026,2,SENS_SCOPUS_00159|SENS_WOS_art02_00276,JA_EXISTIA_NO_CORPUS,REG_04580,doi_exato
SENS_SCOPUS_00161,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Predictive Modeling of LED Luminaire Degradation Using Artificial Neural Networks and Environmental Input,10.1109/AAIML67890.2026.11498210,2026,1,SENS_SCOPUS_00161,JA_EXISTIA_NO_CORPUS,REG_07870,doi_exato
SENS_SCOPUS_00163,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Ten questions concerning Large Language Models (LLMs) for building applications,10.1016/j.buildenv.2026.114260,2026,2,SENS_SCOPUS_00163|SENS_WOS_art01_00029,JA_EXISTIA_NO_CORPUS,REG_04720,doi_exato
SENS_SCOPUS_00169,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Improving the performance of green office buildings in mainland China through facility management under the ""dual carbon"" goals",10.1016/j.jclepro.2025.147381,2026,2,SENS_SCOPUS_00169|SENS_WOS_art01_00946,JA_EXISTIA_NO_CORPUS,REG_04813,doi_exato
SENS_SCOPUS_00177,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Unraveling the impact of machine learning on the AEC sector: academia and industry perspectives,10.1080/17452007.2026.2632103,2026,2,SENS_SCOPUS_00177|SENS_WOS_art01_00886,JA_EXISTIA_NO_CORPUS,REG_04939,doi_exato
SENS_SCOPUS_00199,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"BIM-CAP: A tool for assessing building information modelling capabilities of architecture, engineering, construction and facilities management processes",10.1016/j.softx.2026.102575,2026,2,SENS_SCOPUS_00199|SENS_WOS_art01_00997,JA_EXISTIA_NO_CORPUS,REG_04574,doi_exato
SENS_SCOPUS_00208,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI-Enabled Predictive Maintenance of Medical Equipment for Energy and Waste Reduction †,10.3390/engproc2026129010,2026,1,SENS_SCOPUS_00208,JA_EXISTIA_NO_CORPUS,REG_05020,doi_exato
SENS_SCOPUS_00212,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Fault Detection in Wind Turbine Using IoT,10.1007/978-981-95-0269-1_126,2026,1,SENS_SCOPUS_00212,JA_EXISTIA_NO_CORPUS,REG_04976,doi_exato
SENS_SCOPUS_00218,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Enhancing Building Material Classification in Smart City Through Neural Network Technology,10.1007/978-3-032-08718-8_13,2026,1,SENS_SCOPUS_00218,JA_EXISTIA_NO_CORPUS,REG_04994,doi_exato
SENS_SCOPUS_00225,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Digital Twins for Building Renovation – What is the Added Value?,10.1007/978-3-032-26836-5_36,2026,1,SENS_SCOPUS_00225,JA_EXISTIA_NO_CORPUS,REG_04850,doi_exato
SENS_SCOPUS_00233,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI-Enabled Technology Adoption Models for Smart Construction and Facility Operations,10.1109/ICETSIS68266.2026.11548812,2026,1,SENS_SCOPUS_00233,JA_EXISTIA_NO_CORPUS,REG_04839,doi_exato
SENS_SCOPUS_00242,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Research on Real-Time Perception and Risk Evolution of Smart City Facility Safety Based on the Integration of Digital Twin and the Internet of Things,10.1145/3795154.3795316,2026,1,SENS_SCOPUS_00242,JA_EXISTIA_NO_CORPUS,REG_04682,doi_exato
SENS_SCOPUS_00251,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"The sentient infrastructure paradigm: a review of novel sensors, digital twins, and AI for civil structural health monitoring",10.1108/SR-10-2025-0822,2026,2,SENS_SCOPUS_00251|SENS_WOS_art01_00524,JA_EXISTIA_NO_CORPUS,REG_07873,doi_exato
SENS_SCOPUS_00260,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Intelligent optimisation for sustainable development of onshore wind farm battery energy storage systems: A systematic review,10.1016/j.esr.2026.102109,2026,2,SENS_SCOPUS_00260|SENS_WOS_art02_00257,JA_EXISTIA_NO_CORPUS,REG_04717,doi_exato
SENS_SCOPUS_00266,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,AI-Driven Predictive Maintenance in Infrastructure and Facilities Management,10.4108/airo.9975,2026,1,SENS_SCOPUS_00266,JA_EXISTIA_NO_CORPUS,REG_04514,doi_exato
SENS_SCOPUS_00296,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Deep Learning in the Architecture, Engineering, and Construction (AEC) Industry: Methods, Challenges, and Emerging Opportunities",10.3390/buildings16081546,2026,2,SENS_SCOPUS_00296|SENS_WOS_art01_00577,JA_EXISTIA_NO_CORPUS,REG_04684,doi_exato
SENS_SCOPUS_00299,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"Corrigendum/Erratum to “Integrating AI and spatial analysis for resilient and inclusive 15-minute cities: A case study of Gdańsk”(Cities, (2026), 173, C, (107011), (S026427512600243X), 10.1016/j.cities.2026.107011)",10.1016/j.cities.2026.107238,2026,1,SENS_SCOPUS_00299,JA_EXISTIA_NO_CORPUS,REG_04541,doi_exato
SENS_SCOPUS_00342,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,"AI-Enabled Energy Management Using Intelligent Operations Analytics, Agentic AI and Industry 4.0 Frameworks for Industrial and Data Centre Facilities",10.1142/S0219649226500309,2026,2,SENS_SCOPUS_00342|SENS_WOS_art01_00757,JA_EXISTIA_NO_CORPUS,REG_09322,doi_exato
SENS_SCOPUS_00344,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Digital Building Stewards: AI Systems for Energy-Efficient Facility Management,10.1007/978-3-031-89420-6_15,2026,1,SENS_SCOPUS_00344,JA_EXISTIA_NO_CORPUS,REG_04848,doi_exato
SENS_SCOPUS_00353,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Autoencoder Model Design Method for Operational Anomaly Detection in Escalators; [에스컬레이터 동작 이상 탐지를 위한 오토인코더 모델 설계 방법],10.7782/JKSR.2026.29.6.568,2026,1,SENS_SCOPUS_00353,JA_EXISTIA_NO_CORPUS,REG_07578,doi_exato
SENS_SCOPUS_00372,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Generative AI in facility management: a structural topic modeling (STM) review with qualitative synthesis,10.1108/JFM-04-2025-0054,2026,3,SENS_SCOPUS_00372|SENS_WOS_art01_00126|SENS_CROSSREF_01753,JA_EXISTIA_NO_CORPUS,REG_04871,doi_exato
SENS_SCOPUS_00373,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Remaining Useful Life (Rul) Prediction Model for Hybrid Battery Energy Storage System (Bess) at Commercial Building Using Long Short-Term Memory (Lstm),10.1109/REEPE69046.2026.11481305,2026,1,SENS_SCOPUS_00373,JA_EXISTIA_NO_CORPUS,REG_07865,doi_exato
SENS_SCOPUS_00388,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Integrating digital twin technologies for maintenance 4.0 in the building industry: A review and conceptual framework,10.1016/j.buildenv.2025.113997,2026,2,SENS_SCOPUS_00388|SENS_CROSSREF_01839,JA_EXISTIA_NO_CORPUS,REG_07846,doi_exato
SENS_SCOPUS_00391,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Digital twins for sustainable buildings: From framework to strategy guidelines and application,10.1016/j.enbuild.2026.117332,2026,2,SENS_SCOPUS_00391|SENS_WOS_art02_00327,JA_EXISTIA_NO_CORPUS,REG_04614,doi_exato
SENS_SCOPUS_00425,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,Spatial Intelligence for Efficient High-Rise Building Maintenance and Repair,10.1007/978-3-032-08718-8_9,2026,1,SENS_SCOPUS_00425,JA_EXISTIA_NO_CORPUS,REG_04953,doi_exato
SENS_SCOPUS_00430,Scopus,scopus_nucleo_a5_sensibilidade_ia_ml,A Bayesian optimized LSboost framework for energy usage intensity prediction in a university office building,10.1177/01436244261435319,2026,2,SENS_SCOPUS_00430|SENS_WOS_art01_00161,JA_EXISTIA_NO_CORPUS,REG_05043,doi_exato
