id_unico	decisao_revisada	confianca	regra	subgrupo_duvida	nucleo_analitico	ano	bases_origem	doi	termos_bloco_a	termos_bloco_b	auditado	titulo	justificativa_reprodutivel
REG_00077	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2018	Scopus|WoS	10.1177/1748006x18785289	operation and maintenance; maintenance strategy		nao	Criticality analysis for preventive maintenance optimization purposes in gas network infrastructures	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00094	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2018	Scopus	10.23919/icue-gesd.2018.8635736	building operation		nao	Impacts of Solar PV, Battery Storage and HVAC Set Point Adjustments on Energy Savings and Peak Demand Reduction Potentials in Buildings	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_00099	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2018	Scopus	10.1007/s10995-018-2492-3	facility management		nao	Completing the Maternal Care Team: OB/GYN Expertise at Rural District Hospitals in Ghana, a Qualitative Study	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_00129	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2018	Scopus	10.1061/(asce)me.1943-5479.0000597	facility management		nao	A Multidimensional Framework for Unmanned Aerial System Applications in Construction Project Management	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00141	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2018	Scopus	10.1109/sustech.2017.8333470	building maintenance; retrofit		nao	A PID inspired feature extraction method for HVAC terminal units	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_00148	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2018	Scopus|WoS	10.1007/s40808-018-0418-0	operation and maintenance		nao	Modeling on environmental-economic effectiveness of Vacutug technology of fecal sludge management at Dhaka city in Bangladesh	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_00210	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2018	Scopus|WoS	10.1061/9780784481301.041	facility management		nao	Are facility maintenance and operations enabling performance: A study of K-12 public schools	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_00294	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2018	Scopus	10.1007/978-3-319-93743-4_9	facilities management		nao	Transdisciplinarity and the ‘living lab model’: Food waste management as a site for collaborative learning	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00306	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2018	Scopus	10.1201/9781351008884-14	building maintenance		nao	Maintenance and safety according to the brazilian performance standard: Nbr 15.575	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_00316	DESCARTAR	media	D7_INSUFICIENTE	apenas_bloco_a	TRUE	2018	Scopus	10.1061/9780784481301.030	building asset management		nao	Development of work breakdown structure inventory framework for building assets	Evidência insuficiente no título/termos para reclassificar.
REG_00327	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2018	Scopus	10.1061/9780784481301.039	building operation		nao	Model Predictive Control Strategy for Hybrid Ventilation Building Operation	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_00352	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2017	Scopus	10.1088/1757-899x/277/1/012002	operation and maintenance		nao	Warehouses information system design and development	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00362	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2017	Scopus	10.1016/j.enbuild.2017.09.056	building operation		nao	Mining electrical meter data to predict principal building use, performance class, and operations strategy for hundreds of non-residential buildings	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_00402	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2017	Scopus	10.1002/prs.11869	operation and maintenance		nao	Think facility, act on integrity	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00480	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2017	Scopus	10.3846/1648715x.2016.1245684	maintenance management		nao	Application of key performance indicators for maintenance management of clinics facilities	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00513	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2017	Scopus		facilities management		nao	Early involvement of facilities management towards efficient utilization	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00557	DESCARTAR	alta	D2_DOMINIO_NAO_PREDIAL	apenas_bloco_a	TRUE	2017	Scopus	10.1016/j.procir.2017.03.076	condition-based maintenance		nao	Innovative Changes for Track Maintenance by Using ICT	Domínio predominante não predial ou infraestrutura pesada/industrial/transporte/energia/saneamento.
REG_00589	DESCARTAR	media	D6_SEM_CRITERIO	apenas_bloco_a	TRUE	2017	Crossref|Scopus	10.1108/jqme-07-2016-0030	building maintenance		nao	Bibliometric review of improvements in building maintenance	Há objeto predial e ação, mas sem critério/contexto suficiente para reclassificação conservadora.
REG_00649	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2017	Scopus	10.1061/9780784480823.042	building operation		nao	Building energy use modes and thermal comfort	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_00722	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2016	Scopus	10.1061/(asce)cp.1943-5487.0000604	facility management		nao	Visualization, Information Modeling, and Simulation: Grand Challenges in the Construction Industry	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00731	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2016	Scopus|WoS	10.1007/s10098-016-1182-3	facility management; retrofit		nao	A new green index as an overall quantitative green performance indicator of a facility	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
REG_00754	RELEVANTE	alta	R1_OBJETO_ACAO_CRITERIO	apenas_bloco_a	TRUE	2016	Scopus	10.1016/j.enbuild.2016.06.025	building operation		nao	Potential-analysis of grey energy limits for residential buildings in Germany	Objeto predial + ação de manutenção/operação/FM/retrofit/avaliação + critério ou contexto verificável.
REG_00759	DESCARTAR	media	D3_SEM_OBJETO_PREDIAL	apenas_bloco_a	TRUE	2016	Scopus	10.1051/matecconf/20167307013	facility management		nao	Components of functional information model of city environment reorganization in interactive mode	Sem objeto predial explícito no título ou nos termos fortes de bloco A.
