id_unico,doi,titulo,ano,bases_origem,resumo_presente,classe_pre_triagem,justificativa,sinal_titulo,bloco_a_presente,bloco_b_presente,bloco_c_presente,bloco_d_presente,bloco_tecnologico_presente,bloco_conceitual_presente,termos_bloco_a,termos_bloco_b
REG_00001,10.1525/cse.2018.001248,Balancing stakeholder expectations in sustainability management: The rinker center project at Stetson University,2018,Scopus,sim,relevante,Bloco A (facilities management) e Bloco B (sustainab) presentes.,sugere_parcial,sim,sim,nao,nao,nao,nao,facilities management,sustainab
REG_00002,,Implementation of an enterprise asset management system,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,,sustainab
REG_00003,10.1109/ciced.2018.8592140,Life-cycle management and interact evaluation of distribution cables devices,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,operation and maintenance,life-cycle
REG_00004,10.1109/ciced.2018.8592325,Reliability assessment on switchgear and its controller based on time-spatial-source dimension,2018,Scopus,sim,irrelevante,Nenhum termo de Bloco A nem Bloco B encontrado em titulo+resumo.,sem_sinal,nao,nao,nao,nao,nao,nao,operation and maintenance,
REG_00005,10.3390/buildings9010002,Decision making within the built environment as a strategy for mitigating the risk of malaria and other vector-borne diseases,2018,Scopus|WoS,sim,relevante,Bloco A (facilities management) e Bloco B (sustainab; life cycle) presentes.,sem_sinal,sim,sim,sim,nao,nao,sim,facilities management,sustainab; life cycle
REG_00006,10.1016/j.enbuild.2018.09.040,Qualitative analysis of the use of building performance simulation for retrofitting lower quality office buildings in Australia,2018,Scopus,sim,relevante,Bloco A (building operation; retrofit) e Bloco B (building performance) presentes.,sugere_relevante,sim,sim,nao,nao,nao,nao,building operation; retrofit,building performance
REG_00007,10.3390/w10121802,Water taxation and subsidy analysis based on consumer water use behavior and water sources inside the Kathmandu Valley,2018,Scopus|WoS,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,operation and maintenance,sustainab
REG_00008,10.1115/1.4040460,Augmented and virtual reality for underground facilities management,2018,Scopus,sim,relevante,Bloco A (facilities management) e Bloco B (life-cycle) presentes.,sugere_parcial,sim,sim,nao,nao,nao,nao,facilities management,life-cycle
REG_00009,10.1556/1848.2018.9.2.15,Facility management of smart buildings,2018,Scopus,sim,relevante,Bloco A (facility management) e Bloco B (sustainab; life cycle) presentes.,sugere_parcial,sim,sim,nao,nao,sim,nao,facility management,sustainab; life cycle
REG_00010,10.1002/bate.201800044,Integration of FM-process data in a virtual building model,2018,Scopus,sim,relevante,Bloco A (facility management) e Bloco B (life cycle) presentes.,sem_sinal,sim,sim,nao,nao,sim,nao,facility management,life cycle
REG_00011,10.1109/compcomm.2018.8780806,A full life cycle monitoring information system for cigarette equipments,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,,life cycle
REG_00012,10.14716/ijtech.v9i7.2588,Analysis of life cycle cost and public-private partnership in the development of Walini City as technology park,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,operation and maintenance,life cycle; life-cycle; life cycle cost
REG_00013,10.1002/qre.2348,Graphical analysis for overall effectiveness management: A graphical method to support operation and maintenance performance assessment,2018,Scopus|WoS,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,sim,nao,nao,nao,operation and maintenance,life cycle
REG_00014,10.1007/s12518-018-0233-3,"Generative HBIM modelling to embody complexity (LOD, LOG, LOA, LOI): surveying, preservation, site intervention—the Basilica di Collemaggio (L’Aquila)",2018,Scopus|WoS,sim,relevante,Bloco A (facility management) e Bloco B (sustainab; life cycle) presentes.,sem_sinal,sim,sim,sim,nao,sim,nao,facility management,sustainab; life cycle
REG_00015,10.1063/1.5053110,"Energy performance optimization in buildings: A review on semantic interoperability, fault detection, and predictive control",2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (building performance) presentes.,sem_sinal,sim,sim,nao,nao,nao,nao,building operation,building performance
REG_00016,10.1007/s12053-018-9711-z,A critical review on questionnaire surveys in the field of energy-related occupant behaviour,2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (building performance; net-zero energy) presentes.,sem_sinal,sim,sim,nao,nao,nao,nao,building operation,building performance; net-zero energy
REG_00017,10.3390/smartcities1010010,Perceived importance of smart and sustainable building features from the users’ perspective,2018,Scopus,sim,relevante,Bloco A (building operation) e Bloco B (sustainab) presentes.,sugere_parcial,sim,sim,sim,nao,nao,nao,building operation,sustainab
REG_00018,10.1016/j.ocecoaman.2018.05.006,Co-location opportunities for renewable energies and aquaculture facilities in the Canary Archipelago,2018,Scopus|WoS,sim,relevante,Bloco A (operation and maintenance) e Bloco B (sustainab) presentes.,sem_sinal,sim,sim,sim,nao,nao,nao,operation and maintenance,sustainab
REG_00019,10.1109/ece.2018.8554988,Application of the Public-Private Partnership Model to Sustainable Irrigation System in Pakistan,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sugere_parcial,nao,sim,nao,nao,nao,nao,operation and maintenance,sustainab
REG_00020,10.1016/j.agwat.2018.08.030,A participatory design approach for modernization of spate irrigation systems,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,nao,nao,nao,operation and maintenance; maintenance strategy,sustainab
REG_00021,10.1109/iceltics.2018.8548828,The Implementation and Testing of a Prototype for Web-Based Medical Equipment Maintenance System,2018,Scopus,sim,duvida,Apenas um bloco obrigatorio presente; falta Bloco A (objeto predial). Requer revisao humana.,sem_sinal,nao,sim,nao,sim,nao,nao,,life cycle
REG_00022,10.1108/f-09-2017-0094,Validation and ranking of user requirement related building performance attributes and sub attributes for government residential buildings,2018,Scopus,sim,relevante,Bloco A (maintenance management) e Bloco B (building performance) presentes.,sugere_parcial,sim,sim,sim,nao,nao,nao,maintenance management,building performance
