id_unico|subgrupo_duvida|nucleo_analitico|ano|bases_origem|doi|termos_bloco_a|termos_bloco_b|auditado|titulo
REG_00077|apenas_bloco_a|TRUE|2018|"Scopus|WoS"|10.1177/1748006x18785289|operation and maintenance; maintenance strategy||nao|Criticality analysis for preventive maintenance optimization purposes in gas network infrastructures
REG_00094|apenas_bloco_a|TRUE|2018|Scopus|10.23919/icue-gesd.2018.8635736|building operation||nao|Impacts of Solar PV, Battery Storage and HVAC Set Point Adjustments on Energy Savings and Peak Demand Reduction Potentials in Buildings
REG_00099|apenas_bloco_a|TRUE|2018|Scopus|10.1007/s10995-018-2492-3|facility management||nao|Completing the Maternal Care Team: OB/GYN Expertise at Rural District Hospitals in Ghana, a Qualitative Study
REG_00129|apenas_bloco_a|TRUE|2018|Scopus|10.1061/(asce)me.1943-5479.0000597|facility management||nao|A Multidimensional Framework for Unmanned Aerial System Applications in Construction Project Management
REG_00141|apenas_bloco_a|TRUE|2018|Scopus|10.1109/sustech.2017.8333470|building maintenance; retrofit||nao|A PID inspired feature extraction method for HVAC terminal units
REG_00148|apenas_bloco_a|TRUE|2018|"Scopus|WoS"|10.1007/s40808-018-0418-0|operation and maintenance||nao|Modeling on environmental-economic effectiveness of Vacutug technology of fecal sludge management at Dhaka city in Bangladesh
REG_00210|apenas_bloco_a|TRUE|2018|"Scopus|WoS"|10.1061/9780784481301.041|facility management||nao|Are facility maintenance and operations enabling performance: A study of K-12 public schools
REG_00294|apenas_bloco_a|TRUE|2018|Scopus|10.1007/978-3-319-93743-4_9|facilities management||nao|Transdisciplinarity and the ‘living lab model’: Food waste management as a site for collaborative learning
REG_00306|apenas_bloco_a|TRUE|2018|Scopus|10.1201/9781351008884-14|building maintenance||nao|Maintenance and safety according to the brazilian performance standard: Nbr 15.575
REG_00316|apenas_bloco_a|TRUE|2018|Scopus|10.1061/9780784481301.030|building asset management||nao|Development of work breakdown structure inventory framework for building assets
REG_00327|apenas_bloco_a|TRUE|2018|Scopus|10.1061/9780784481301.039|building operation||nao|Model Predictive Control Strategy for Hybrid Ventilation Building Operation
REG_00352|apenas_bloco_a|TRUE|2017|Scopus|10.1088/1757-899x/277/1/012002|operation and maintenance||nao|Warehouses information system design and development
REG_00362|apenas_bloco_a|TRUE|2017|Scopus|10.1016/j.enbuild.2017.09.056|building operation||nao|Mining electrical meter data to predict principal building use, performance class, and operations strategy for hundreds of non-residential buildings
REG_00402|apenas_bloco_a|TRUE|2017|Scopus|10.1002/prs.11869|operation and maintenance||nao|Think facility, act on integrity
REG_00480|apenas_bloco_a|TRUE|2017|Scopus|10.3846/1648715x.2016.1245684|maintenance management||nao|Application of key performance indicators for maintenance management of clinics facilities
REG_00513|apenas_bloco_a|TRUE|2017|Scopus||facilities management||nao|Early involvement of facilities management towards efficient utilization
REG_00557|apenas_bloco_a|TRUE|2017|Scopus|10.1016/j.procir.2017.03.076|condition-based maintenance||nao|Innovative Changes for Track Maintenance by Using ICT
REG_00589|apenas_bloco_a|TRUE|2017|"Crossref|Scopus"|10.1108/jqme-07-2016-0030|building maintenance||nao|Bibliometric review of improvements in building maintenance
REG_00649|apenas_bloco_a|TRUE|2017|Scopus|10.1061/9780784480823.042|building operation||nao|Building energy use modes and thermal comfort
REG_00722|apenas_bloco_a|TRUE|2016|Scopus|10.1061/(asce)cp.1943-5487.0000604|facility management||nao|Visualization, Information Modeling, and Simulation: Grand Challenges in the Construction Industry
REG_00731|apenas_bloco_a|TRUE|2016|"Scopus|WoS"|10.1007/s10098-016-1182-3|facility management; retrofit||nao|A new green index as an overall quantitative green performance indicator of a facility
REG_00754|apenas_bloco_a|TRUE|2016|Scopus|10.1016/j.enbuild.2016.06.025|building operation||nao|Potential-analysis of grey energy limits for residential buildings in Germany
REG_00759|apenas_bloco_a|TRUE|2016|Scopus|10.1051/matecconf/20167307013|facility management||nao|Components of functional information model of city environment reorganization in interactive mode
REG_00762|apenas_bloco_a|TRUE|2016|Scopus|10.1016/j.pmcj.2016.01.003|building operation||nao|Fine-grained appliance usage and energy monitoring through mobile and power-line sensing
REG_00855|apenas_bloco_a|TRUE|2016|Scopus|10.1016/j.ijsbe.2016.03.006|facilities maintenance||nao|Impact of indoor environmental quality on occupant well-being and comfort: A review of the literature
REG_00861|apenas_bloco_a|TRUE|2016|Scopus|10.1007/978-981-10-0129-1_14|facilities management; operation and maintenance||nao|ICT-Based facilities management tools for buildings
REG_00874|apenas_bloco_a|TRUE|2016|Scopus||operation and maintenance||nao|Augmented reality supported work instructions for onsite facility maintenance
REG_00887|apenas_bloco_a|TRUE|2016|"Scopus|WoS"|10.1016/j.ifacol.2016.11.002|operation and maintenance||nao|Criticality Analysis for optimising OPEX cost lifecycle
REG_00958|apenas_bloco_a|TRUE|2016|Scopus||operation and maintenance||nao|Learnings from the equipment lifecycle
REG_00966|apenas_bloco_a|TRUE|2016|Scopus||operation and maintenance||nao|Facility integrity: Learnings from the equipment lifecycle
REG_00967|apenas_bloco_a|TRUE|2016|Scopus||operation and maintenance||nao|Facility integrity: Learnings from the equipment lifecycle
REG_00970|apenas_bloco_a|TRUE|2016|Scopus|10.1016/j.proeng.2016.04.069|maintenance management||nao|Risk-based Maintenance Management of U.S. Public School Facilities
REG_00987|apenas_bloco_a|TRUE|2016|Scopus||building operation||nao|Education towards nZEBs in the Czech Republic
REG_00998|apenas_bloco_a|TRUE|2016|Scopus||operation and maintenance||nao|Features of formation and realization of resource saving measures complex aimed to solve social, ecological and economic problems of the russian construction industry
REG_01019|apenas_bloco_a|TRUE|2015|Scopus|10.1093/ijlct/ctu008|operation and maintenance; retrofit||nao|Existing buildings' operation and maintenance: Renovation project of Chow Yei Ching building at the University of Hong Kong
REG_01031|apenas_bloco_a|TRUE|2015|Scopus|10.1016/j.egypro.2015.11.281|building operation||nao|Indoor environment and energy consumption optimization using field measurements and building energy simulation.
REG_01047|apenas_bloco_a|TRUE|2015|Scopus|10.1109/mdm.2015.64|building operation||nao|AARPA: Combining Mobile and Power-Line Sensing for Fine-Grained Appliance Usage and Energy Monitoring
REG_01065|apenas_bloco_a|TRUE|2015|Scopus|10.1108/f-11-2014-0094|building portfolio||nao|Access over ownership – a typology of shared space
REG_01077|apenas_bloco_a|TRUE|2015|Scopus|10.3390/s150715988|operation and maintenance||nao|Evolution of RFID applications in construction: A literature review
REG_01083|apenas_bloco_a|TRUE|2015|"Scopus|WoS"|10.1109/secon.2015.7132960|facilities management||nao|Design methodology for identifying optimum photovoltaic system configuration at UNC Charlotte
REG_01094|apenas_bloco_a|TRUE|2015|Scopus|10.1108/jfm-04-2014-0012|facilities management||nao|Facilities management innovation in public-private collaborations: Danish ESCO projects
REG_01123|apenas_bloco_a|TRUE|2015|Scopus|10.1109/jsyst.2013.2290339|operation and maintenance||nao|Evaluation of the levelized cost of energy method for analyzing renewable energy systems: A case study of system equivalency crossover points under varying analysis assumptions
REG_01157|apenas_bloco_a|TRUE|2015|Scopus||facility management||nao|The concept of facility management in the focus of energy effective houses
REG_01163|apenas_bloco_a|TRUE|2015|Scopus|10.1201/b17618-91|facilities management||nao|Maintenance and measures adopted to extend useful life of tunnels at Tokyo metro
