ordem_prioridade,lote_leitura,id_unico,doi,titulo,ano,eixo_tematico_preliminar,metodo_mcdm_especifico,tecnologia_especifica,necessita_leitura_completa
1,1,REG_04599,10.3390/su18126101,A Conceptual Framework for Sustainable Vertical Growth in the Housing Sector: A Case Study of the Dammam Metropolitan Area,2026,gestao_predial_sustentabilidade_geral,,,sim
2,1,REG_04990,NA,"7th International Conference on Power, Energy and Mechatronics Engineering, ICPEME 2025",2026,gestao_predial_com_tecnologia_aplicada,,Data-driven,sim
3,1,REG_05027,10.1007/978-981-95-6592-4_9,A Novel Approach to Reduce Smog by Proposing Alternative to Bricks in Construction,2026,gestao_predial_sustentabilidade_geral,,,sim
4,1,REG_05042,10.3390/buildings16020289,A BERT and NSGA-II Based Model for Workforce Resource Allocation Optimization in the Operational Stage of Commercial Buildings,2026,gestao_predial_com_decisao_multicriterio,VIKOR,,sim
5,1,REG_04669,10.1108/jcre-03-2025-0014,A life cycle framework for sustainable remodeling of corporate real estate projects in Saudi Arabia,2026,gestao_predial_sustentabilidade_geral,,,sim
6,1,REG_07845,10.3390/s26030947,A BIM-Based Digital Twin Framework for Urban Roads: Integrating MMS and Municipal Geospatial Data for AI-Ready Urban Infrastructure Management,2026,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin; outra tecnologia: predictive maintenance,sim
7,1,REG_07827,10.1016/j.engstruct.2026.122930,A probabilistic framework for life-cycle disaster-resistance assessment of high-rise reinforced concrete structures under earthquake–typhoon sequences,2026,gestao_predial_sustentabilidade_geral,,,sim
8,1,REG_04685,10.3390/systems14040413,A Comprehensive Resilience Assessment Model for Smart Ports: A System Dynamics Simulation of Ningbo-Zhoushan Port in the Context of Digital Transformation,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
9,1,REG_04570,10.1108/rs-11-2025-0052,A study on technological advancement and performance calculation of railing systems for railway bridge maintenance walkways,2026,gestao_predial_sustentabilidade_geral,,,sim
10,1,REG_05043,10.1177/01436244261435319,A Bayesian optimized LSboost framework for energy usage intensity prediction in a university office building,2026,gestao_predial_com_tecnologia_aplicada,,Data-driven; outra tecnologia: smart building; outra tecnologia: predictive maintenance,sim
11,1,REG_04778,10.1016/j.buildenv.2025.114069,AI as a catalyst for synergistic gains in indoor air quality and energy efficiency,2026,gestao_predial_sustentabilidade_geral,,,sim
12,1,REG_04523,10.1016/j.enbuild.2026.117829,A novel data-analytics based process for load profiling and meter-level anomaly detection in building energy consumption time series,2026,gestao_predial_contexto_publico_universitario,,,sim
13,1,REG_04688,10.1016/j.est.2026.120964,Achieving low-carbon electricity operations in net zero energy residential buildings through plug-in battery energy storage systems,2026,gestao_predial_sustentabilidade_geral,,,sim
14,1,REG_04961,10.1080/10429247.2026.2676663,A Framework for the Implementation of Industry 4.0 Technologies in Maintenance Management within the Petrochemical Industry: A Multicriteria Decision-Making Approach,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),IoT,sim
15,1,REG_04654,10.1145/3800227.3800392,A Digital Twin Framework for Intelligent Indoor Environmental Monitoring and Adaptive Evaluation,2026,gestao_predial_com_tecnologia_aplicada,,BIM; Digital Twin; IoT,sim
16,1,REG_05044,10.1007/978-3-032-14194-1_21,Advanced Control Strategies for Mechanical HVAC Systems to Enhance Energy Efficiency and Indoor Environmental Quality,2026,gestao_predial_sustentabilidade_geral,,,sim
17,1,REG_04852,10.1201/9781003541295-8,An Anthropological Perspective on Urban Facility Management,2026,gestao_predial_sustentabilidade_geral,,,sim
18,1,REG_07599,10.1109/sustech67720.2026.11536515,A Review of AI-based Optimization and Monitoring Using Wearable Data in Smart Buildings,2026,gestao_predial_com_tecnologia_aplicada,,Data-driven; outra tecnologia: smart building; outra tecnologia: predictive maintenance,sim
19,1,REG_04823,10.3390/su18020566,A Life Cycle AI-Assisted Model for Optimizing Sustainable Material Selection,2026,gestao_predial_com_decisao_multicriterio,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo),,sim
20,1,REG_04683,10.3390/su18084079,An Extended Theory of Planned Behavior Approach to Fitness Facility Use Intention in Korea: The Moderating Role of Social Sustainability,2026,gestao_predial_sustentabilidade_geral,,,sim
21,1,REG_04618,10.1108/f-11-2025-0226,A performance-based perspective on sustainable interior design (SID) as a catalyst for hotel’s performance effectiveness,2026,gestao_predial_biossistemica_conceitual,,,sim
