id_unico,titulo,ano,metodo_identificado_leitura,usa_ahp_extracao_automatica,usa_topsis_extracao_automatica,usa_outro_mcdm_extracao_automatica,metodo_mcdm_especifico_extracao_automatica
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,fuzzy,nao,nao,nao,
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,scoring,nao,nao,nao,
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,decision support,nao,nao,nao,
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,life-cycle cost,nao,nao,nao,
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,balanced scorecard,nao,nao,nao,
REG_00110,Optimal FM Strategy for Commercial Office Buildings Using Fuzzy Synthetic Evaluation,2018,framework,nao,nao,nao,
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,ranking,nao,nao,nao,
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,framework,nao,nao,nao,
REG_00217,Enabling an effective knowledge and information flow between the phases of building construction and facilities management,2018,BIM,nao,nao,nao,
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,AHP,sim,nao,sim,AHP; ANP
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,ANP,sim,nao,sim,AHP; ANP
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,fuzzy,sim,nao,sim,AHP; ANP
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,scoring,sim,nao,sim,AHP; ANP
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,decision support,sim,nao,sim,AHP; ANP
REG_00415,AHP-ANP-Fuzzy Integral Integrated Network for Evaluating Performance of Innovative Business Models for Sustainable Building,2017,framework,sim,nao,sim,AHP; ANP
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_00489,Knowledge-based Lean Six Sigma maintenance system for sustainable buildings,2017,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_00519,Urban facilities management: A systemic process for achieving urban sustainability,2017,framework,nao,nao,nao,
REG_00852,Developing a green maintainability framework for green walls in Singapore,2016,framework,nao,nao,nao,
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,optimization,nao,nao,nao,
REG_00888,Optimization of Sustainability and Flood Hazard Resilience for Home Designs,2016,framework,nao,nao,nao,
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,framework,nao,nao,nao,
REG_01046,Literature review of green retrofit design for commercial buildings with BIM implication,2015,BIM,nao,nao,nao,
REG_01104,Building information modeling for indoor environmental performance analysis,2015,framework,nao,nao,nao,
REG_01104,Building information modeling for indoor environmental performance analysis,2015,BIM,nao,nao,nao,
REG_01239,Life cycle costing of mechanical and electrical services for private finance initiatives projects in Malaysia,2015,life-cycle cost,nao,nao,nao,
REG_01239,Life cycle costing of mechanical and electrical services for private finance initiatives projects in Malaysia,2015,framework,nao,nao,nao,
REG_01646,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,2013,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_01646,A vector autoregressive model for interpolating missing meteorological data for use in building simulation,2013,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_01657,Evaluation of building performance for strategic facilities management in healthcare: A case study of a public hospital in Australia,2013,framework,nao,nao,nao,
REG_02069,Outsourcing in facilities management - A literature review,2011,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_02069,Outsourcing in facilities management - A literature review,2011,life-cycle cost,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_02069,Outsourcing in facilities management - A literature review,2011,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,decision support,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_02204,Sustainable carbon neutral building design: New simulation tools for teaching green buildings,2011,framework,nao,nao,sim,MCDM/MCDA generico (sem metodo nomeado no titulo+resumo)
REG_02495,Digital Twins’ Applications for Building Energy Efficiency: A Review,2022,optimization,nao,nao,nao,
REG_02495,Digital Twins’ Applications for Building Energy Efficiency: A Review,2022,digital twin,nao,nao,nao,
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,ANP,nao,nao,sim,ANP
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,fuzzy,nao,nao,sim,ANP
REG_02540,An Integrated Fuzzy-Based Sustainability Framework for Post-Secondary Educational Buildings: A User-Perspective Approach,2022,framework,nao,nao,sim,ANP
REG_02568,Assessment of the Perception of Sustainability for Occupants of Residential Buildings: A Case Study in the UAE,2022,framework,nao,nao,nao,
REG_02635,A thematic review on Prevention through design (PtD) concept application in the construction industry of developing countries,2022,framework,nao,nao,nao,
REG_02635,A thematic review on Prevention through design (PtD) concept application in the construction industry of developing countries,2022,BIM,nao,nao,nao,
REG_03126,A performance data integrated BIM framework for building life-cycle energy efficiency and environmental optimization design,2021,optimization,nao,nao,nao,
REG_03126,A performance data integrated BIM framework for building life-cycle energy efficiency and environmental optimization design,2021,life-cycle cost,nao,nao,nao,
REG_03126,A performance data integrated BIM framework for building life-cycle energy efficiency and environmental optimization design,2021,framework,nao,nao,nao,
REG_03126,A performance data integrated BIM framework for building life-cycle energy efficiency and environmental optimization design,2021,BIM,nao,nao,nao,
