fonte,registros,percentual_372,zona_bradford_aproximada
Energy and Buildings,18,4.8,Nucleo
Journal of Building Engineering,15,4.0,Nucleo
Facilities,14,3.8,Nucleo
Lecture Notes in Civil Engineering,11,3.0,Nucleo
Iop Conference Series Earth and Environmental Science,10,2.7,Nucleo
Sustainability Switzerland,10,2.7,Nucleo
Buildings,8,2.2,Nucleo
Journal of Facilities Management,8,2.2,Nucleo
Journal of Cleaner Production,7,1.9,Nucleo
Smart and Sustainable Built Environment,6,1.6,Nucleo
International Journal of Construction Management,5,1.3,Nucleo
Energies,5,1.3,Nucleo
Journal of Green Building,5,1.3,Nucleo
Automation in Construction,4,1.1,Zona 2
Malaysian Construction Research Journal,4,1.1,Zona 2
Building and Environment,4,1.1,Zona 2
Sustainable Cities and Society,4,1.1,Zona 2
Iop Conference Series Materials Science and Engineering,4,1.1,Zona 2
Journal of Information Technology in Construction,3,0.8,Zona 2
Journal of Asian Architecture and Building Engineering,3,0.8,Zona 2
Intelligent Buildings International,3,0.8,Zona 2
International Journal of Building Pathology and Adaptation,3,0.8,Zona 2
Advances in Science Technology and Innovation,3,0.8,Zona 2
Building Simulation Conference Proceedings,3,0.8,Zona 2
Applied Sciences Switzerland,3,0.8,Zona 2
Built Environment Project and Asset Management,3,0.8,Zona 2
E3s Web of Conferences,3,0.8,Zona 2
Jurnal Teknologi,3,0.8,Zona 2
Property Management,2,0.5,Zona 2
Matec Web of Conferences,2,0.5,Zona 2
World Construction Symposium,2,0.5,Zona 2
Sustainability,2,0.5,Zona 2
Environment Development and Sustainability,2,0.5,Zona 2
Journal of Physics Conference Series,2,0.5,Zona 2
Journal of Building Pathology and Rehabilitation,2,0.5,Zona 2
Journal of Construction Engineering and Management,2,0.5,Zona 2
Infrastructure Asset Management,2,0.5,Zona 2
Proceedings of International Structural Engineering and Construction,2,0.5,Zona 2
Proceedings of the 26th International Business Information Management Association Conference Innovation Management and Sustainable Economic Competitive Advantage from Regional Development to Global Growth Ibima 2015,2,0.5,Zona 2
Journal of Performance of Constructed Facilities,2,0.5,Zona 2
Renewable and Sustainable Energy Reviews,2,0.5,Zona 2
Resources Conservation and Recycling,2,0.5,Zona 2
Urban Book Series,2,0.5,Zona 2
Advances in Civil Engineering,2,0.5,Zona 2
Energy Procedia,2,0.5,Zona 2
Engineering Construction and Architectural Management,2,0.5,Zona 2
Built Environment Journal,2,0.5,Zona 2
Building Research and Information,2,0.5,Zona 2
Chemical Engineering Transactions,1,0.3,Zona 2
ASHRAE Transactions,1,0.3,Zona 2
ASCE Inspire 2023 Infrastructure Innovation and Adaptation for A Sustainable and Resilient World Selected Papers from ASCE Inspire 2023,1,0.3,Zona 2
ACTA STRUCTILIA,1,0.3,Zona 2
"9TH INTERNATIONAL CONFERENCE ON ENERGY AND ENVIRONMENTAL SCIENCE, ICEES 2025",1,0.3,Zona 2
3rd European and Mediterranean Structural Engineering and Construction Conference 2020 Euro Med Sec 2020,1,0.3,Zona 2
39th World Energy Engineering Conference Weec 2016,1,0.3,Zona 2
2ND INTERNATIONAL TROPICAL RENEWABLE ENERGY CONFERENCE (I-TREC) 2017,1,0.3,Zona 2
2ND INTERNATIONAL BUILDING CONTROL CONFERENCE,1,0.3,Zona 2
21st Annual Conference of the International Group for Lean Construction 2013 Iglc 2013,1,0.3,Zona 2
"2025 IEEE CONFERENCE ON TECHNOLOGIES FOR SUSTAINABILITY, SUSTECH",1,0.3,Zona 2
2024 International Conference on Communication Computing and Internet of Things Ic3iot 2024 Proceedings,1,0.3,Zona 2
2023 2nd International Conference on Multidisciplinary Engineering and Applied Science Icmeas 2023,1,0.3,Zona 2
2018 IEEE International Conference on Pervasive Computing and Communications Workshops Percom Workshops 2018,1,0.3,Zona 2
15th Conference of the International Society of Indoor Air Quality and Climate Indoor AIR 2018,1,0.3,Zona 2
10th International Conference on Healthy Buildings 2012,1,0.3,Zona 2
Advanced Materials Research,1,0.3,Zona 2
Association of Researchers in Construction Management Arcom 2024 Proceedings of the 40th Annual Conference,1,0.3,Zona 2
Asian Journal of Water Environment and Pollution,1,0.3,Zona 2
Architectural Engineering and Design Management,1,0.3,Zona 2
Applied Thermal Engineering,1,0.3,Zona 2
Applied Human Factors and Ergonomics International,1,0.3,Zona 2
Applied Energy,1,0.3,Zona 2
BUILDINGS,1,0.3,Zona 2
Building Services Engineering Research and Technology,1,0.3,Zona 2
Association of Researchers in Construction Management Arcom 2019 Proceedings of the 35th Annual Conference,1,0.3,Zona 2
Annales Des Telecommunications Annals of Telecommunications,1,0.3,Zona 2
Advances in Building Energy Research,1,0.3,Zona 2
Advances in Transdisciplinary Engineering,1,0.3,Zona 2
Aip Conference Proceedings,1,0.3,Zona 2
American Journal of Environmental Sciences,1,0.3,Zona 2
Advances in Intelligent and Soft Computing,1,0.3,Zona 2
Facility Management Practices Empirical Cases in Developing Countries,1,0.3,Zona 2
Expert Systems with Applications,1,0.3,Zona 2
Eurasia Proceedings of Science Technology Engineering and Mathematics,1,0.3,Zona 2
Environmental Science and Engineering,1,0.3,Zona 2
Environmental Footprints and Eco Design of Products and Processes,1,0.3,Zona 3
Environmental Health Insights,1,0.3,Zona 3
Engineering Structures,1,0.3,Zona 3
"Engineering, Construction and Architectural Management",1,0.3,Zona 3
Energy Research and Social Science,1,0.3,Zona 3
Eng,1,0.3,Zona 3
Engineering Management in Production and Services,1,0.3,Zona 3
"EUROPEAN ASSOCIATION ON QUALITY CONTROL OF BRIDGES AND STRUCTURES, EUROSTRUCT 2023, VOL 6, ISS 5",1,0.3,Zona 3
Ecological Complexity,1,0.3,Zona 3
Ecological Engineering,1,0.3,Zona 3
Ecs Transactions,1,0.3,Zona 3
Energy,1,0.3,Zona 3
Computers in Industry,1,0.3,Zona 3
Communications in Computer and Information Science,1,0.3,Zona 3
Conference Proceedings of the 6th International Symposium on Project Management Ispm 2018,1,0.3,Zona 3
Computing in Civil Engineering 2025 Computational and Intelligent Technologies Selected Papers from the ASCE International Conference on Computing in Civil Engineering 2025,1,0.3,Zona 3
Clean Technologies and Environmental Policy,1,0.3,Zona 3
Eai Springer Innovations in Communication and Computing,1,0.3,Zona 3
Construction Entrepreneurship and Real Property,1,0.3,Zona 3
Current Issues in Tourism,1,0.3,Zona 3
Civil Engineering and Architecture,1,0.3,Zona 3
Building Pathology and Rehabilitiation,1,0.3,Zona 3
Building Maintenance Processes and Practices the Case of A Fast Developing Country,1,0.3,Zona 3
Boletim De Ciencias Geodesicas,1,0.3,Zona 3
Atmosphere,1,0.3,Zona 3
Buildings and Cities,1,0.3,Zona 3
Buildsys 2018 Proceedings of the 5th Conference on Systems for Built Environments,1,0.3,Zona 3
Informes De La Construccion,1,0.3,Zona 3
