termo_1,termo_2,coocorrencia,associacao_normalizada
carbon emissions,life cycle,2,0.3162
building operation,building performance simulation,2,0.2887
digital twin,predictive maintenance,2,0.2828
life cycle assessment,residential building,3,0.2535
building information modeling (bim),smart cities,3,0.2206
energy efficiency,smart building,2,0.2108
facility management,building performance,4,0.1975
facility management,operation and maintenance,3,0.1913
facility management,asset management,3,0.1913
facility management,building information modeling (bim),7,0.1797
building information modeling (bim),construction industry,2,0.1644
life cycle assessment,carbon emissions,2,0.1581
facility management,internet of things,2,0.1562
facility management,nigeria,2,0.1562
building information modeling (bim),digital twin,3,0.156
building information modeling (bim),building life cycle,2,0.147
building information modeling (bim),predictive maintenance,2,0.147
life cycle assessment,sustainable development,2,0.1348
building information modeling (bim),smart building,2,0.1342
building information modeling (bim),asset management,2,0.1342
building information modeling (bim),building operation,2,0.1162
building information modeling (bim),building performance,2,0.104
facility management,digital twin,2,0.0988
building information modeling (bim),energy efficiency,2,0.0849
